time_us,cs1238_raw
158,312811
1599,312521
3138,312764
4682,312884
6222,313207
7767,313585
9302,313261
10854,313466
12391,313296
13933,313393
15472,313435
17018,313112
18550,313183
20096,313078
21636,313349
23183,313099
24714,312834
26259,312966
27797,313001
29347,312789
30885,312666
32426,312743
33967,312645
35515,312879
37046,312907
38590,313143
40129,313433
41673,313593
43204,313538
44757,313183
46292,313419
47834,313600
49385,313614
50919,313390
52457,313336
54002,313118
55539,313317
57081,313319
58624,312936
60161,312729
61701,312658
63246,312994
64782,313009
66334,312923
67867,312916
69415,312737
70953,313239
72496,313241
74034,313046
75577,313105
77111,313402
78658,313053
80194,313268
81738,313472
83277,313286
84823,313149
86366,313097
87902,313017
89447,313005
90988,313219
92522,312827
94073,312713
95609,312911
97154,312987
98691,312944
100232,312876
101773,313136
103326,313355
104861,313200
106408,313025
107936,313231
109478,313266
111017,313205
112567,313726
114104,313606
115645,313161
117180,313712
118730,313811
120264,313512
121809,313179
123351,313108
124894,313010
126434,313123
127974,313087
129519,312896
131060,312980
132595,312875
134141,312807
135679,312697
137223,312789
138767,313053
140303,313289
141843,313503
143391,313441
144927,313338
146470,313039
148008,313059
149550,313070
151094,313188
152639,313486
154173,313665
155724,313020
157253,312938
158802,312964
160348,312573
161882,312606
163427,312926
164968,313398
166502,313328
168051,313351
169587,313232
171128,312970
172664,312870
174206,312967
175750,312932
177291,313353
178828,313396
180380,313320
181911,313035
183461,312646
184995,312750
186543,312822
188075,312606
189623,312543
191159,313016
192702,313251
194241,313513
195784,313007
197332,312682
198867,312639
200409,312624
201952,312932
203489,313074
205037,312508
206571,312696
208117,312927
209651,312867
211195,313036
212740,313115
214274,312823
215819,313057
217366,313130
218899,312853
220445,312825
221980,313302
223525,313681
225062,313683
226613,313652
228147,313480
229690,313583
231225,313916
232769,313961
234309,313911
235852,314299
237406,313926
238942,313694
240474,313488
242029,313455
243560,313552
245106,313713
246645,313308
248186,313529
249721,313605
251267,313025
252806,312916
254354,313003
255887,312576
257432,312444
258971,312416
260515,312737
262051,312576
263597,312059
265134,312039
266680,312007
268214,312349
269759,312114
271297,311983
272840,311846
274383,311710
275926,312220
277459,312233
279003,312271
280548,312749
282089,312861
283625,312933
285168,313377
286712,313583
288252,313939
289789,314508
291342,314885
292876,314724
294423,314802
295954,314660
297496,314406
299042,314232
300584,313988
302117,314016
303666,314197
305204,313898
306746,313561
308281,313293
309826,313378
311377,313478
312913,313111
314453,312768
315995,312954
317532,312792
319074,312868
320616,313074
322159,313060
323695,313002
325236,312817
326779,312644
328326,312532
329859,312107
331405,312400
332939,312627
334487,312324
336027,312405
337567,312343
339108,312291
340653,312125
342185,312288
343737,312285
345271,312311
346815,312067
348361,312485
349897,312958
351435,313201
352982,313323
354512,313996
356059,314202
357600,314531
359152,315029
360689,314951
362226,314517
363763,314456
365305,314622
366846,314287
368393,314165
369930,314235
371470,313906
373008,313700
374558,313657
376093,313036
377636,312695
379172,312337
380719,312452
382256,312408
383799,312544
385340,312794
386882,312780
388423,312939
389964,312893
391502,312725
393047,312490
394582,312203
396126,312247
397666,312328
399209,312506
400750,312428
402293,312313
403832,312267
405384,312214
406913,311798
408464,311798
409997,312259
411538,312454
413081,312782
414623,312565
416158,312576
417706,313318
419245,313760
420790,314082
422332,314366
423872,315034
425417,314842
426957,314952
428494,315233
430033,315005
431573,314663
433115,314857
434658,314759
436199,314236
437738,313525
439283,313458
440819,313204
442367,312515
443899,312430
445449,312321
446988,311862
448535,312116
450065,312225
451607,312462
453151,312870
454690,312950
456228,312594
457776,312685
459310,312538
460857,312289
462402,312449
463940,312589
465476,312552
467020,312626
468560,312857
470106,313239
471644,313228
473188,312642
474726,312303
476272,312500
477808,312538
479358,312614
480889,312985
482441,313545
483975,313502
485523,314094
487056,313986
488599,314377
490134,314727
491683,314581
493220,314609
494765,314560
496300,314490
497847,314056
499389,314163
500926,314271
502467,314028
504016,313870
505550,313566
507094,313100
508634,312590
510178,312722
511719,312564
513259,312322
514802,312504
516345,312666
517882,312510
519432,312445
520961,312637
522508,312589
524042,312538
525596,312800
527128,312668
528672,312556
530211,312019
531752,312286
533294,312672
534835,312853
536379,312705
537919,312608
539452,312609
541003,312726
542540,312685
544084,312600
545628,313074
547169,313296
548702,313363
550246,313658
551788,313628
553338,313772
554867,313771
556420,313663
557951,314157
559498,314629
561036,314204
562578,313658
564116,313894
565657,313468
567194,313495
568748,313291
570278,313206
571828,313127
573368,312592
574911,312335
576442,312377
577990,312117
579529,312227
581070,312072
582612,312252
584155,312481
585694,312332
587237,312252
588773,312703
590322,312930
591855,313130
593410,313118
594942,312873
596485,313099
598024,313240
599567,313314
601108,313543
602647,313779
604188,313694
605735,313649
607271,313872
608819,313581
610361,313740
611901,313774
613438,313583
614980,313760
616518,313397
618061,313205
619600,313565
621141,313654
622686,313305
624231,313370
625769,313113
627309,312781
628847,312591
630394,312523
631932,312378
633477,312630
635019,312573
636558,312686
638096,312333
639648,311961
641178,312185
642721,312524
644261,312353
645809,312487
647352,312744
648896,312719
650430,312596
651973,312913
653510,312814
655053,313081
656594,312999
658138,313142
659675,313501
661216,313225
662760,313117
664306,313613
665840,313754
667393,313526
668923,313054
670470,313204
672008,313639
673552,313883
675100,313640
676637,313411
678169,313497
679723,313463
681255,313529
682797,313274
684344,312995
685885,312694
687424,312468
688969,312558
690503,312155
692046,311762
693582,311642
695132,312127
696666,312126
698207,312550
699749,312785
701291,312897
702835,312985
704383,313195
705913,313485
707461,313514
708997,313749
710540,313791
712080,313660
713627,313638
715158,313402
716710,313519
718243,313707
719789,313530
721331,313317
722871,313340
724421,313624
725952,313636
727492,313281
729039,313230
730576,313587
732117,313566
733658,313004
735201,313081
736739,313206
738282,313276
739824,313070
741369,312799
742905,312834
744447,312929
745989,312956
747532,312830
749066,312551
750615,312168
752152,312307
753692,312685
755236,312586
756779,312226
758322,312610
759863,312042
761408,311935
762943,312405
764479,312544
766026,312582
767565,312825
769104,312980
770644,313274
772188,313800
773724,313967
775270,313584
776808,313665
778358,313641
779891,313655
781435,313628
782973,313853
784517,313737
786056,313757
787601,313866
789137,313281
790679,312922
792217,313005
793760,312937
795297,312494
796846,312677
798388,312912
799932,312990
801465,313159
803012,313148
804548,313063
806092,312809
807632,313028
809170,313304
810717,313262
812262,313122
813795,312932
815343,312886
816875,312665
818438,312723
819961,313067
821503,312838
823044,312733
824588,312738
826123,312869
827671,312940
829204,313108
830756,313710
832288,313799
833837,313490
835374,313760
836914,313638
838449,313660
840004,313590
841533,313516
843079,313682
844617,313670
846160,313365
847702,313182
849243,313382
850788,313211
852332,313116
853866,312897
855411,312697
856950,312485
858494,312236
860033,311931
861575,311929
863119,312610
864658,312949
866191,312872
867740,312689
869279,312725
870823,312885
872363,312572
873909,313331
875445,313154
876987,312791
878526,313126
880075,313224
881610,313239
883151,313226
884691,312615
886237,312714
887776,312786
889321,313227
890855,313197
892404,313350
893934,313460
895480,313356
897020,313462
898569,313705
900096,313586
901647,313287
903179,313351
904730,313305
906263,313453
907808,313279
909353,312950
910891,312521
912428,312834
913975,312880
915509,312724
917064,313121
918593,312882
920139,312752
921678,312920
923222,312984
924759,312548
926301,312447
927841,312791
929391,312890
930922,312771
932469,312797
934007,312651
935546,312865
937091,313209
938633,312959
940172,312753
941713,313054
943248,312805
944798,312880
946342,313193
947882,313106
949420,313010
950966,312871
952502,313334
954046,313623
955584,313371
957126,313208
958664,312741
960209,312945
961746,313379
963290,313151
964829,313070
966377,313068
967912,313350
969460,313272
970994,313196
972539,313203
974079,313111
975616,313523
977154,313303
978701,312810
980244,312414
981791,312245
983330,312404
984867,312838
986411,312987
987951,312917
989489,312752
991031,313023
992569,312942
994114,312889
995654,312809
997192,312758
998735,312908
1000277,312815
