time_us,cs1238_raw
163,312245
1514,312301
3062,312237
4602,312177
6143,312146
7686,312256
9224,312249
10768,312308
12305,311990
13848,311921
15392,311670
16930,311814
18476,311766
20014,311907
21555,311758
23103,311878
24643,311911
26177,311912
27719,311619
29258,311840
30806,311786
32340,312053
33891,312358
35420,312341
36968,312538
38503,312938
40054,312874
41587,312324
43134,312066
44676,312111
46214,312373
47750,312551
49301,312225
50834,312410
52379,312587
53920,312402
55465,312139
57000,311886
58545,312415
60081,312289
61630,312738
63162,312315
64710,311996
66248,312054
67794,312608
69330,312576
70878,311871
72412,311507
73954,311817
75491,311697
77035,311586
78575,311676
80118,311578
81662,311649
83203,311987
84742,311589
86286,311515
87821,311732
89365,311964
90902,311876
92448,311917
93989,312070
95529,312099
97071,311969
98619,311939
100155,312204
101700,312379
103235,312217
104780,312168
106315,312324
107863,312104
109398,312014
110942,312453
112481,312354
114023,312316
115556,312300
117106,312353
118655,312636
120191,312661
121727,312859
123271,312983
124810,313143
126359,312846
127891,312710
129438,312519
130972,312684
132520,312258
134054,312566
135607,312671
137137,312700
138688,312701
140219,312294
141766,312285
143302,312351
144844,312596
146385,312601
147927,312361
149465,312423
151011,312050
152554,312166
154092,311966
155637,311631
157180,311722
158716,311587
160259,311583
161797,311809
163339,311893
164877,312026
166421,311916
167968,311520
169507,311810
171041,312179
172588,311912
174121,312026
175673,312288
177208,312079
178750,312131
180294,312476
181837,312217
183375,312148
184918,312021
186455,311668
188001,311812
189538,311913
191082,312153
192626,312026
194161,312153
195705,312321
197244,312259
198783,312112
200327,312144
201866,312317
203410,312530
204948,312349
206490,312307
208030,312386
209574,312012
211112,312000
212661,312287
214195,312286
215740,312044
217276,312069
218824,312256
220360,312529
221904,312316
223442,312502
224987,312576
226526,312340
228070,312235
229611,312177
231149,312123
232700,312423
234238,312426
235771,312153
237320,312066
238850,312104
240393,311981
241938,311842
243477,312030
245018,311931
246562,311933
248097,311945
249649,311714
251184,311953
252729,312204
254265,311740
255807,311682
257343,311733
258887,312247
260432,311959
261973,312457
263507,312572
265055,312173
266599,312373
268132,312308
269681,311899
271223,311873
272755,311849
274303,312315
275841,312816
277386,312729
278919,312140
280463,312070
282007,312221
283548,312296
285088,312243
286636,312013
288171,312201
289714,312536
291249,312302
292801,312130
294336,312101
295877,311891
297418,312046
298961,312438
300494,312611
302044,312381
303578,311991
305122,311545
306665,311678
308213,312066
309745,311986
311287,311824
312827,311867
314370,312015
315909,311959
317451,312169
318989,312277
320532,312426
322078,312496
323621,312089
325150,311983
326707,311872
328238,312176
329780,312471
331321,312064
332862,311913
334401,312244
335948,312378
337485,312231
339030,312056
340573,312171
342107,312184
343656,312007
345193,312155
346734,312634
348277,312501
349814,312170
351358,312046
352895,311878
354437,311874
355976,312206
357519,312330
359059,312122
360606,311988
362139,312091
363689,312432
365225,312301
366766,312115
368305,312375
369848,312217
371393,311831
372928,311706
374471,312122
376014,311987
377553,312230
379101,312111
380637,311987
382184,312238
383719,312355
385261,312290
386800,312401
388347,312364
389883,312425
391424,312201
392965,312208
394508,312250
396044,311886
397599,312148
399129,311962
400682,311791
402213,312254
403759,312324
405291,312221
406839,312225
408373,312164
409918,311958
411456,312275
412999,312334
414536,312474
416072,312684
417627,312151
419167,312133
420705,312393
422247,312547
423783,312346
425328,312357
426871,312057
428409,312362
429949,312227
431490,312094
433041,311925
434574,312192
436114,311904
437665,311730
439197,312151
440743,312043
442278,311765
443821,311956
445357,312333
446908,312181
448443,312305
449988,312316
451518,312304
453073,312435
454610,312586
456147,312132
457695,312329
459228,312290
460768,312152
462309,312077
463851,311964
465392,312098
466938,312283
468475,312144
470020,312267
471563,312462
473094,312528
474645,311991
476179,311923
477726,312318
479264,312539
480804,312503
482343,312422
483885,312192
485427,312256
486970,312306
488508,312545
490052,312361
491588,311985
493134,312286
494679,312066
496216,311917
497755,312004
499299,312244
500836,312280
502381,312113
503918,311855
505464,312018
507004,311939
508543,311776
510085,311915
511631,312056
513167,312269
514709,312271
516248,312326
517791,312600
519329,312520
520876,311983
522410,311813
523955,311849
525498,311689
527038,311924
528578,311972
530124,312106
531662,312041
533203,311830
534743,312387
536283,312364
537823,312209
539372,311705
540902,311614
542450,311743
543982,312129
545526,312443
547067,312059
548617,312057
550149,312416
551700,312397
553232,311881
554775,311885
556315,312164
557859,311795
559397,311851
560940,311825
562475,312024
564022,312309
565560,312542
567104,312433
568646,312187
570185,312136
571724,311937
573272,312089
574804,312280
576350,312197
577896,312209
579433,311862
580971,312053
582517,312038
584063,312067
585603,312129
587137,312131
588683,312144
590215,311802
591762,312006
593301,312393
594840,312805
596385,312532
597926,312085
599463,312191
601008,312005
602547,311875
604088,311941
605635,311773
607173,311996
608710,311839
610255,311885
611793,312157
613339,312092
614875,311937
616416,311672
617957,311651
619502,311780
621044,311580
622581,311779
624123,311765
625670,311695
627205,311656
628753,312159
630287,312193
631833,311897
633370,312111
634912,312305
636447,312297
638001,312184
639531,312057
641077,312277
642621,312662
644161,312417
645700,312016
647242,312176
648780,312222
650325,312323
651865,312212
653411,312128
654944,312149
656492,312216
658033,311773
659571,311887
661115,311846
662657,311742
664192,312297
665742,312555
667274,312405
668818,312286
670360,312082
671908,312161
673448,312207
674981,312052
676519,311722
678063,312081
679608,312187
681150,311961
682694,312033
684233,312001
685769,312097
687313,312031
688855,311933
690397,312240
691935,312399
693476,312051
695017,312008
696562,311813
698109,311923
699647,312087
701185,312147
702727,312430
704264,312210
705809,312172
707346,311923
708892,312116
710427,312173
711969,312164
713507,312291
715057,312310
716598,312364
718137,312509
719679,312327
721218,312205
722759,311707
724300,311951
725841,312417
727384,312278
728924,312321
730465,312605
732002,312490
733546,312202
735091,311912
736636,311572
738169,311348
739713,311660
741253,312220
742795,312027
744337,311626
745876,311797
747413,311865
748959,311893
750498,312406
752040,312476
753582,312118
755124,311836
756672,311870
758207,311979
759751,312410
761289,312373
762826,312196
764373,311973
765907,312123
767451,312251
768990,312057
770534,311625
772073,312108
773625,311908
775157,311812
776704,312018
778237,311948
779782,311909
781320,311955
782863,311994
784401,311919
785945,312372
787483,312478
789032,312494
790565,312172
792111,312023
793653,312000
795199,312427
796736,312183
798276,311752
799811,311765
801355,311800
802894,311932
804437,311801
805978,311883
807529,312029
809063,311878
810609,311854
812147,311810
813691,311796
815225,312026
816773,311946
818305,312109
819850,312331
821394,312125
822939,312159
824466,312124
826015,312026
827558,312385
829095,312387
830644,312419
832179,312364
833720,311954
835260,312256
836804,312398
838346,312117
839881,312098
841429,311922
842964,312249
844509,312452
846051,311719
847600,311937
849131,312220
850680,312088
852214,311784
853763,312030
855292,311979
856839,312109
858379,311877
859923,312024
861458,312227
863006,311989
864545,312029
866089,312115
867634,311971
869177,311959
870710,312092
872251,312254
873790,312303
875338,312058
876874,312048
878415,312368
879955,312300
881496,312064
883039,311953
884582,312114
886128,312172
887668,312301
889199,312208
890747,312288
892284,312332
893831,312520
895371,312404
896914,312469
898446,312581
899994,312797
901535,312508
903077,312314
904622,311997
906160,312082
907706,312203
909243,311969
910781,311701
912326,311885
913865,312347
915408,311904
916946,311650
918488,312204
920029,312107
921570,312015
923111,311924
924658,311877
926194,312191
927736,312424
929272,312361
930818,312367
932357,311936
933901,311834
935444,311712
936985,311504
938524,311400
940069,311585
941607,311480
943149,311569
944691,312061
946232,312448
947771,312455
949314,312253
950849,311939
952395,311836
953931,312293
955474,312320
957016,312248
958560,312288
960100,312439
961648,312193
963185,312339
964726,312304
966262,311924
967812,311543
969345,311459
970892,312133
972428,311959
973971,311791
975506,312252
977050,312590
978602,312057
980141,312020
981682,312069
983218,312017
984757,311650
986306,311967
987837,311830
989386,312042
990918,311728
992465,311830
994006,312266
995544,312090
997086,312172
998636,312342
1000169,312141
