time_us,cs1238_raw
167,322886
831,322804
2372,323005
3911,323379
5450,323938
6995,323798
8533,324183
10087,325022
11615,325221
13163,325264
14705,325363
16243,325067
17781,325334
19330,325351
20862,325507
22411,324916
23949,324569
25490,324854
27027,325193
28577,324786
30112,324101
31659,323811
33194,323956
34741,324481
36277,324375
37821,323648
39357,323950
40907,324281
42443,324663
43984,325414
45519,325305
47066,325322
48599,325260
50149,325706
51694,325941
53234,326504
54768,327006
56315,326739
57852,326378
59394,325901
60935,325441
62484,324717
64021,323716
65558,322884
67096,321874
68644,321228
70177,321120
71728,321625
73263,322217
74807,322084
76343,321346
77892,321082
79423,321417
80969,321772
82504,321656
84052,321389
85595,321208
87134,322159
88674,323481
90217,324440
91758,323680
93299,322999
94836,323087
96380,323198
97918,323742
99466,324048
101001,324159
102553,324689
104081,325789
105631,327111
107163,327941
108711,327689
110246,327175
111790,327441
113326,328071
114878,327542
116410,326867
117960,326801
119495,327142
121039,326862
122574,325900
124121,325202
125674,324578
127204,323809
128745,322784
130291,322425
131823,322418
133375,322500
134905,322001
136449,321612
137988,321304
139529,321365
141072,320926
142615,319999
144150,319469
145702,319257
147236,319344
148779,319495
150320,319675
151860,319813
153403,320353
154949,321192
156481,321675
158027,322098
159566,322913
161108,324134
162653,325157
164193,325732
165735,326362
167276,326775
168811,326917
170352,327290
171891,326988
173445,326974
174976,326635
176526,326017
178060,325497
179603,325184
181141,324346
182698,324076
184222,323998
185764,323330
187303,323104
188849,322615
190389,322644
191931,322323
193468,322298
195012,322051
196552,321683
198097,321635
199633,321655
201182,322184
202723,322499
204265,321853
205801,321277
207347,321278
208881,321835
210428,322383
211966,322927
213503,323161
215050,322866
216588,323078
218128,323745
219680,324417
221216,324977
222760,324966
224292,325054
225840,325543
227383,326036
228924,326653
230454,326662
232000,327154
233540,327231
235088,327590
236621,327502
238165,326888
239708,326634
241247,326424
242786,326009
244330,324676
245866,324221
247413,323887
248951,323317
250495,322728
252032,322589
253573,322160
255115,322164
256662,322115
258194,322472
259745,322632
261281,322402
262829,322597
264363,323019
265908,323155
267442,322586
268988,322469
270524,322684
272076,322365
273608,322354
275154,322330
276693,321893
278241,321871
279771,321973
281318,322073
282860,322438
284399,323039
285938,323761
287480,324435
289019,325138
290563,325817
292099,326146
293645,326544
295180,327048
296730,327525
298265,326904
299813,326634
301348,326656
302897,326266
304433,326109
305974,325886
307510,325363
309058,324671
310587,324429
312140,323658
313680,323266
315227,322968
316764,322803
318300,322957
319839,322856
321382,322918
322921,322866
324468,322955
326009,322702
327545,322832
329086,323107
330635,322696
332164,322371
333718,322141
335248,322298
336794,322310
338330,322588
339879,323089
341413,323289
342959,322917
344493,322782
346046,322941
347582,323041
349130,323003
350668,323042
352209,323235
353750,323308
355290,323278
356829,323611
358368,323947
359909,324320
361456,324874
362988,325424
364533,325799
366072,325740
367613,326016
369156,326730
370702,326711
372244,326214
373783,325880
375313,325680
376867,324899
378403,324328
379946,324038
381483,323101
383034,322837
384561,322843
386107,322840
387646,322497
389187,322517
390736,323065
392272,323447
393814,323463
395352,323775
396894,323801
398439,323379
399972,323372
401521,323367
403058,322945
404600,323132
406143,322914
407689,322453
409218,321967
410763,321639
412302,321740
413850,322005
415388,322189
416930,322663
418466,323035
420014,323164
421549,323493
423100,324025
424635,324405
426172,324681
427723,325140
429261,325966
430797,326176
432342,326028
433878,325861
435419,325997
436960,326131
438505,326003
440049,325856
441588,325698
443129,325682
444672,325397
446204,325111
447760,325025
449292,324688
450832,324500
452369,324137
453916,323891
455450,323270
457002,323121
458534,322669
460083,322394
461617,322207
463168,322260
464708,322445
466244,322492
467782,322224
469329,322331
470867,322615
472414,322770
473948,322957
475491,323038
477031,322860
478575,322400
480109,322812
481665,322943
483198,322948
484745,323052
486275,323425
487823,323685
489358,324099
490903,324511
492442,324954
493985,325693
495517,326167
497065,325909
498605,325987
500149,326184
501698,326575
503235,326536
504769,326514
506310,326005
507851,325451
509392,325637
510930,325389
512475,324998
514010,324493
515557,324187
517099,323829
518636,323456
520175,323299
521727,323246
523258,322996
524805,322286
526341,322394
527885,322439
529422,322227
530970,321834
