time_us,cs1238_raw
164,599165
1073,598874
2608,599259
4156,599323
5700,599171
7229,599411
8786,599333
10312,599777
11855,600273
13398,600382
14939,600895
16479,600946
18032,600661
19558,600437
21111,600391
22640,600122
24188,600060
25721,600294
27267,599992
28805,599207
30351,599013
31886,599367
33433,599599
34968,598926
36512,598457
38053,599142
39597,599583
41137,599431
42680,599666
44216,600110
45766,599773
47300,599661
48838,600269
50380,600056
51922,599801
53459,599616
55002,599486
56541,599557
58091,599737
59623,599830
61168,599481
62709,599287
64248,598536
65786,598913
67330,599636
68870,599280
70416,599140
71948,599099
73496,598956
75033,599312
76577,599932
78120,600145
79660,599814
81200,599882
82737,599896
84277,599631
85823,599474
87360,599218
88904,598879
90441,599087
91986,599055
93521,598818
95068,598446
96602,598303
98155,598644
99687,598955
101229,598878
102765,598526
104309,598723
105850,599076
107392,599283
108928,599385
110474,599582
112013,599517
113559,599776
115098,599858
116641,599531
118178,599678
119726,599496
121264,599475
122798,599295
124343,598701
125884,598926
127425,599187
128966,598906
130503,599030
132055,599085
133585,599694
135138,599968
136672,600387
138211,600525
139754,600310
141293,600325
142833,600053
144376,599687
145917,598554
147459,597804
148998,597049
150541,596801
152087,596933
153631,596702
155160,596616
156708,596891
158240,597803
159786,598541
161325,599567
162864,600761
164408,601627
165947,602814
167484,604130
169029,605499
170566,607097
172120,609320
173651,610692
175194,610683
176733,610284
178278,609491
179818,607818
181358,606575
182896,605447
184444,603797
185976,601994
187523,600299
189065,598618
190606,596627
192147,594676
193689,593147
195222,591288
196769,589403
198304,588038
199847,587158
201385,587313
202932,588747
204473,590038
206014,591852
207553,593590
209100,594392
210631,594458
212184,594532
213718,595278
215264,596459
216799,597932
218343,599663
219876,601008
221422,601772
222958,601618
224507,601537
226040,601569
227587,601982
229126,602246
230667,602041
232205,601913
233754,602311
235293,602753
236828,603968
238375,605275
239912,606513
241449,607074
243001,606675
244531,605532
246082,604702
247612,604410
249160,604427
250695,604261
252242,603451
253778,601809
255319,600052
256856,598353
258400,596344
259937,593886
261493,591781
263018,590305
264574,589139
266111,588479
267649,588580
269188,588597
270732,589035
272274,589731
273810,590562
275356,591297
276894,592869
278435,594972
279975,596632
281513,598038
283065,599227
284594,599589
286142,599609
287677,599352
289219,599152
290764,599324
292304,599872
293843,600462
295389,600992
296923,600901
298470,600717
300004,600894
301552,601642
303091,602845
304633,603581
306167,604218
307714,604088
309249,604024
310792,603632
312330,603554
313874,603238
315414,602814
316958,602572
318497,602023
320041,601161
321582,600337
323131,599865
324664,598980
326203,597480
327740,596586
329292,596237
330824,595574
332370,594928
333904,595099
335449,595593
336988,595873
338532,596237
340075,596745
341616,597006
343155,597224
344696,597603
346234,598091
347783,598846
349313,599485
350858,599632
352395,599936
353945,600146
355480,600795
357021,600928
358562,600823
360110,600977
361647,600991
363188,601074
364727,601082
366269,601376
367805,601713
369352,601681
370889,601660
372435,602041
373971,602028
375517,601727
377056,601530
378601,601879
380141,601604
381677,601015
383215,601116
384759,601029
386297,601009
387847,600940
389383,600447
390927,599991
392467,599856
394011,598692
395546,597598
397096,597451
398631,597222
400173,596372
401710,596126
403255,596385
404791,596729
406336,597000
407872,596935
409423,597286
410950,597353
412498,597764
414036,598198
415575,598541
417124,598983
418662,599483
420198,600026
421746,600338
423279,600962
424823,601712
426358,601920
427904,601739
429446,601824
430985,602317
432530,602859
434072,602637
435607,602478
437158,602353
438690,602009
440240,601523
441771,601250
443321,601056
444849,600708
446400,600634
447934,600189
449480,599828
451016,599540
452559,599166
454104,599165
455643,599144
457181,599057
458721,598337
460265,598482
461807,598532
463349,598294
464888,598038
466427,597579
467968,597662
469508,597533
471056,597561
472589,597696
474136,598003
475672,598404
477216,598338
478756,598302
480299,598498
481836,598714
483380,599309
484917,599747
486460,600436
488002,601019
489546,601289
491087,601932
492635,602299
494166,602412
495709,602648
497243,602901
498796,603098
500325,603148
501870,602296
503409,601651
504954,601335
506490,600818
508033,600635
509573,600326
511126,599729
512654,599550
514199,599057
515738,598633
517282,598347
518818,598086
520364,597621
521899,598338
523445,598931
524982,599099
526527,598759
528067,599101
529612,599283
531151,599334
532697,599575
534230,599589
535774,599487
537312,599513
538856,599520
540398,599671
541941,599549
543478,599369
545019,599372
546556,599619
548107,599505
549644,599798
551184,600210
552724,600356
554266,600456
555809,600818
557348,601319
558888,601578
560433,602166
561965,602651
563510,602595
565059,602434
566597,602419
568138,602256
569677,602168
571214,601915
572756,601194
574297,600162
575842,599795
577385,599053
578927,598344
580462,598039
582005,597972
583544,597904
585092,597952
586628,598300
588171,598295
589705,598510
591255,598770
592790,598878
594341,599057
595869,599435
597414,599534
598951,599650
600499,599763
602039,599964
603579,600152
605122,600146
606666,599787
608203,599769
609742,600022
611283,600046
612827,600447
614362,600412
615907,600340
617448,600753
618989,601089
620528,601650
622077,602001
623613,602110
625161,602323
626691,602494
628239,602151
629775,601807
631319,601381
632853,601294
634404,601164
635936,600630
637484,600331
639020,600160
640569,600022
642111,599416
643653,598935
645186,598438
646733,598515
648272,598873
649813,598894
651351,599073
652893,599433
654436,599294
655975,599392
657515,599555
659066,599880
660599,599895
662148,600134
663679,600392
665226,600414
666765,600385
668306,600391
669849,600358
671391,600347
672926,600662
674469,600454
676008,600435
677559,600270
679101,600494
680636,600715
682177,600646
683722,601156
685260,601180
686806,601229
688342,601291
689882,600975
691421,601204
692964,601182
694502,601236
696055,600970
697585,601080
699136,601175
700668,600829
702215,600367
703748,600005
705295,599672
706832,599472
708377,599764
709914,599590
711457,598961
712993,598780
714543,598660
716082,598634
717620,598450
719158,598997
720705,599341
722249,599431
723787,599319
725331,599142
726868,599365
728405,599595
729951,599581
731487,599906
733033,599978
734568,599808
736119,599909
737660,599851
739202,600000
740736,600152
742283,600606
743822,601335
745360,601350
746897,600941
748444,601233
749979,601233
751528,601608
753067,601630
754607,601772
756154,601496
757690,600879
759226,600434
760774,600259
762309,600144
763854,599975
765392,599579
766934,599449
768474,599531
770018,599228
771558,599012
773114,598758
774643,598588
776186,598729
777724,598679
779265,598956
780802,599099
782349,598781
783886,599111
785433,599405
786970,599588
788512,599806
790060,599617
791597,599396
793140,599226
794674,599561
796217,599788
797760,600208
799299,600212
800845,599989
802384,599943
803919,600222
805464,600611
807006,600514
808544,600580
810091,600793
811625,600834
813172,601035
814706,601203
816256,601391
817787,601747
819334,601752
820869,601769
822417,601466
823952,601106
825500,600883
827036,601016
828580,600611
830123,600111
831662,599585
833200,599138
834747,598720
836286,598702
837826,598887
839363,598763
840907,598730
842448,598454
843991,598474
845531,599075
847072,599268
848607,599340
850161,600357
851689,600340
853234,600071
854772,600303
856315,600069
857856,600254
859406,600657
860936,600422
862481,600028
864020,599683
865562,599535
867107,599724
868651,599780
870180,600166
871732,600477
873270,600339
874810,600680
876351,601082
877892,601513
879433,601356
880976,601317
882516,601476
884061,601538
885596,601492
887142,601035
888676,600684
890223,600836
891757,600597
893308,600015
894849,599261
896383,598919
897920,598481
899467,598297
901001,598494
902557,598599
904094,598628
905631,598845
907170,599077
908703,599270
910249,599769
911798,599854
913333,599764
914877,599887
916412,599919
917954,600162
919496,600304
921038,600191
922581,600083
924126,600315
925667,600120
927207,600084
928747,599886
930289,599550
931823,599596
933369,599974
934904,600259
936450,600065
937985,599877
939531,600304
941082,600284
942612,600270
944158,600377
945698,600581
947238,600579
