time_us,cs1238_raw
159,448756
1346,449080
2881,449587
4425,449774
5966,449558
7506,449214
9045,449534
10594,449526
12132,449564
13677,449741
15209,449735
16755,449753
18295,449292
19836,449679
21375,449947
22920,449789
24458,449277
26009,449468
27544,449618
29084,449558
30635,449964
32167,450177
33703,449809
35249,450077
36784,449898
38331,450214
39868,450485
41408,450243
42948,450242
44495,450068
46032,449728
47580,449245
49116,448963
50660,448897
52198,449362
53740,449510
55279,449124
56824,448844
58366,448171
59904,448503
61444,449052
62986,448863
64523,448328
66064,448768
67611,449267
69151,449551
70692,449398
72231,449586
73769,449974
75318,450864
76854,450923
78398,450801
79934,450706
81480,450813
83016,450483
84569,450188
86101,450486
87644,450434
89179,450162
90730,449900
92266,449503
93810,449302
95350,448942
96895,448795
98430,448628
99979,448713
101511,448956
103052,448942
104598,449065
106140,449124
107679,448994
109220,449314
110759,449713
112301,449556
113843,449566
115383,449517
116924,449067
118467,449312
120007,449045
121562,449125
123088,449287
124640,449130
126171,449191
127718,449889
129256,449873
130801,449723
132335,449976
133884,450572
135415,450430
136969,450301
138501,450110
140049,450106
141590,450326
143128,450033
144666,449753
146204,449636
147744,449543
149300,449230
150831,448685
152375,448704
153912,448754
155457,448744
156999,449319
158543,449385
160075,449518
161631,449703
163160,450108
164706,450295
166238,450247
167789,450384
169326,449837
170869,449470
172404,449708
173952,449672
175485,449377
177032,449234
178578,449063
180117,449061
181652,448725
183199,448619
184738,449081
186284,449378
187824,449380
189364,449350
190899,449554
192449,449646
193982,449578
195537,449712
197070,450167
198617,450067
200148,449934
201699,450176
203228,449960
204775,449794
206317,449718
207859,449474
209394,449427
210942,449976
212476,449805
214027,449698
215566,449462
217106,449263
218646,449155
220189,449204
221730,449180
223271,449349
224811,449416
226361,449706
227893,449630
229438,449408
230972,449621
232519,450124
234056,450096
235608,449999
237137,449856
238686,449596
240219,449639
241765,449436
243300,449603
244854,449427
246386,449329
247929,449549
249464,449652
251021,449606
252558,449527
254097,449278
255636,449867
257176,449925
258714,449717
260259,449495
261797,449630
263341,449631
264882,449887
266424,450179
267960,450260
269505,449982
271043,449439
272593,449191
274131,449422
275682,449342
277209,449114
278754,449039
280296,448975
281842,448877
283377,448566
284921,448776
286454,448961
288000,449693
289545,449716
291083,449639
292622,450042
294162,450170
295700,449896
297247,450078
298786,450483
300328,450189
301866,449996
303412,449694
304950,449716
306493,450251
308032,450250
309579,449514
311109,449060
312657,449293
314194,449337
315745,449352
317278,449328
318820,449309
320366,449755
321902,449544
323440,449462
324986,449028
326521,449509
328070,449744
329610,449672
331152,449706
332688,449828
334236,449685
335769,449479
337318,449607
338853,449717
340395,449400
341939,449155
343478,449017
345015,449202
346565,449160
348102,449444
349650,449708
351180,449576
352724,449698
354261,449782
355809,449960
357342,449944
358889,449462
360429,449376
361970,449739
363509,450018
365053,450415
366593,450162
368137,449675
369673,449591
371216,449320
372755,449270
374299,449276
375837,448814
377380,448734
378920,448865
380463,449288
382004,449256
383554,449203
385086,449291
386635,449313
388162,449387
389711,449678
391249,449841
392791,449919
394332,449908
395878,450069
397414,450199
398959,450178
400496,450363
402038,450367
403580,449924
405124,449681
406657,449480
408210,449238
409740,449011
411284,448890
412827,448904
414372,449386
415908,449384
417448,449230
418990,449308
420544,449630
422072,449607
423618,449459
425150,449485
426706,449835
428234,449895
429779,449775
431318,450113
432863,450213
434400,449861
435945,449981
437484,449868
439031,449969
440567,449743
442115,449766
443653,449914
445190,449703
446729,449708
448272,449995
449814,450028
451357,449882
452897,449952
454437,449802
455974,450113
457520,449837
459057,449284
460606,449345
462140,449063
463686,449220
465220,449237
466770,449328
468305,449324
469848,449284
471384,449121
472934,449170
474467,448787
476018,449179
477558,449302
479094,449288
480643,449128
482178,449203
483720,449103
485262,449606
486801,449801
488342,450008
489879,450006
491425,449884
492964,450025
494507,450152
496047,450468
497592,450410
499131,450466
500673,450399
502213,450137
503758,450119
505296,449574
506838,449570
508373,449432
509922,449272
511461,449552
513002,449828
514545,449855
516085,449558
517625,449158
519168,449540
520704,449866
522249,449618
523783,449437
525327,449624
526869,449752
528408,449426
529950,449156
531493,449428
533033,449196
534577,449281
536117,449188
537659,449068
539196,449259
540745,449307
542277,448988
543823,448890
545358,448889
546903,449406
548442,449422
549988,449692
551522,449942
553077,449997
554612,449959
556152,449815
557689,449707
559235,450000
560774,450021
562317,449718
563852,449535
565393,449855
566936,450000
568479,450103
570021,449887
571565,449748
573103,449996
574641,449915
576182,449786
577731,449623
579267,449925
580811,449990
582347,449750
583892,449657
585427,449378
586979,449170
588509,448777
590053,448362
591602,448141
593138,448217
594675,448143
596216,447858
597757,447893
599304,447450
600838,447513
602382,447846
603920,448543
605467,448869
607007,449107
608553,449304
610087,449644
611636,449874
613172,449556
614714,449878
616254,450729
617793,450820
619331,450699
620885,450825
622412,451219
623961,451326
625499,450882
627042,450327
628584,449910
630129,449981
631665,450012
633204,449786
634746,449626
636287,449609
637824,449391
639375,449369
640905,449417
642450,449592
643989,449369
645536,448933
647074,449026
648618,448936
650153,448858
651697,448872
653235,448791
654786,448700
656318,448817
657859,448698
659401,448796
660944,448741
662482,448489
664030,448626
665571,448911
667111,449018
668645,449382
670192,449885
671726,449818
673275,450000
674813,450541
676356,451362
677894,451722
679437,451773
680976,451968
682525,452029
684056,451799
685608,451838
687142,451127
688685,450500
690221,450493
691767,449862
693302,449434
694854,449331
696393,448783
697931,448068
699468,448126
701016,447718
702555,447682
704093,447801
705637,448499
707176,448729
708716,448700
710260,448875
711795,448712
713342,448723
714881,448919
716424,449517
717963,449524
719505,448942
721050,448370
722592,448118
724128,449224
725676,450309
727209,450843
728753,450874
730290,450078
731837,450152
733369,450340
734918,450437
736453,450122
738001,449391
739545,448618
741083,449114
742627,450781
744161,451726
745702,451593
747248,450804
748786,450123
750329,450022
751869,450154
753408,449773
754946,449263
756494,448999
758032,448518
759580,449149
761112,450784
762661,450873
764198,448986
765740,447806
767280,448036
768821,449153
770357,449703
771903,449583
773442,449282
774985,449623
776518,451001
778065,451567
779616,451584
781149,450936
782692,450256
784234,449913
785771,449959
787315,449334
788855,448239
790395,447268
791935,447641
793479,448336
795019,448456
796566,448377
798102,447945
799642,447829
801187,448093
802730,449460
804266,450523
805811,450737
807344,450986
808891,451803
810426,452473
811977,452365
813510,452219
815052,451860
816597,451282
818141,450941
819675,450135
821219,449214
822756,448393
824300,447478
825840,447237
827382,447289
828921,447302
830465,447358
832005,447473
833553,448078
835082,448882
836636,449953
838167,450345
839715,450357
841248,450242
842794,450051
844331,450314
845877,450363
847418,450383
848957,450147
850497,450036
852043,450294
853582,450326
855123,450432
856661,450043
