time_us,cs1238_raw
162,702819
443,702599
1990,702502
3524,702337
5067,702020
6606,701810
8153,701591
9692,701557
11237,701230
12781,700770
14317,700631
15856,700895
17402,701058
18939,701458
20484,701364
22024,701549
23569,701515
25105,701366
26648,701483
28186,702140
29739,702706
31271,702728
32821,702721
34351,702838
35897,702908
37432,702918
38980,703044
40521,702543
42067,702016
43603,702091
45150,702121
46686,702072
48226,702141
49772,702486
51310,702270
52852,701629
54396,701168
55930,701268
57476,701956
59011,702114
60561,701996
62096,702406
63637,702314
65178,702322
66730,701984
68265,701839
69814,701875
71343,701876
72891,701541
74426,701287
75979,701255
77511,701191
79060,701366
80589,701477
82136,701582
83673,701830
85217,701765
86762,701954
88301,701767
89838,701921
91386,702442
92926,702391
94467,702672
96009,702763
97551,702640
99094,702433
100632,702476
102170,702755
103718,703041
105257,702659
106802,702275
108333,702179
109877,701660
111419,701514
112962,702272
114501,702751
116040,702800
117582,702611
119126,702700
120661,702636
122208,702185
123750,701855
125290,702021
126833,702156
128374,701711
129909,701611
131453,701752
132990,701618
134545,702042
136077,702180
137621,702213
139159,701670
140711,701521
142241,701374
143789,701073
145319,701022
146869,700738
148401,700996
149950,701646
151485,701717
153030,701479
154565,701554
156114,702165
157654,702418
159197,702659
160736,702858
162279,703082
163813,702804
165362,702754
166899,702710
168449,702568
169979,702768
171522,702642
173068,702407
174603,701964
176144,701898
177689,702020
179226,701605
180777,701806
182316,702163
183853,702518
185394,702356
186942,702226
188474,702263
190017,702364
191560,702087
193101,702375
194637,702415
196184,702318
197725,702080
199268,701444
200812,701391
202346,701401
203886,701041
205426,700629
206970,700227
208507,700203
210051,700111
211592,700679
213131,701285
214671,701489
216213,701313
217762,701928
219295,702245
220846,702695
222376,703184
223924,703139
225461,703573
227008,703548
228544,703424
230087,703404
231625,702941
233167,703052
234716,703090
236249,702930
237791,703000
239335,702483
240875,702349
242418,702240
243953,701876
245500,701889
247036,701484
248584,701657
250119,701645
251666,701753
253204,702045
254756,702337
256286,702635
257830,702411
259375,702183
260911,702251
262447,702240
263990,702226
265528,701971
267078,701946
268612,701382
270161,701066
271694,701449
273240,701550
274782,701249
276318,701084
277861,701481
279404,701907
280941,702340
282484,702545
284023,702795
285568,702322
287109,702501
288648,702818
290187,703299
291737,703868
293273,703693
294823,703637
296356,703241
297897,702894
299435,702928
300979,702658
302518,702324
304062,701946
305600,701834
307145,701471
308681,701250
310232,701207
311771,701221
313309,701376
314851,701629
316392,701732
317931,701769
319474,702520
321015,702769
322557,702967
324094,703260
325639,702915
327178,703090
328727,703000
330258,702914
331813,702373
333340,702396
334889,702400
336426,702378
337974,702359
339505,702003
341052,701762
342591,701460
344139,701114
345667,701501
347217,701607
348758,702164
350299,702288
351839,702147
353386,702087
354917,702116
356465,702355
358004,702561
359547,702391
361086,702277
362626,702194
364171,702446
365719,702733
367249,702814
368801,702665
370329,702464
371877,702647
373417,702627
374960,702429
376498,702408
378042,702503
379575,702568
381124,702592
382658,702280
384205,702064
385752,702254
387290,702155
388829,702083
390366,701938
391911,701738
393454,701689
394997,701594
396533,701645
398069,701663
399613,701360
401153,701354
402698,701794
404236,701894
405784,701711
407316,701241
408864,701448
410398,701582
411946,701975
413483,702480
415027,702658
416560,702853
418112,703094
419643,702995
421195,702914
422738,702980
424274,703012
425817,702727
427356,702489
428894,702300
430435,702058
431980,702300
433517,702603
435058,702568
436602,702189
438143,702066
439682,702163
441225,701811
442774,701808
444303,702073
445848,702036
447390,702285
448936,702246
450466,701823
452016,701841
453551,701723
455096,701281
456638,701159
458175,701021
459723,700899
461263,700795
462807,701379
464346,701744
465885,701284
467426,701546
468965,701938
470507,702168
472047,702476
473593,702537
475129,702769
476674,702861
478212,703322
479762,703415
481297,703257
482842,703652
484384,703451
485922,702952
487456,702763
489000,702607
490542,702369
492088,702173
493624,701597
495173,701477
496701,701732
498256,701945
499794,701651
501332,701810
502877,701942
504418,701889
505956,702252
507503,702510
509036,702602
510585,702350
512123,702292
513668,702253
515201,702087
516752,702199
518285,702229
519830,702043
521365,701592
522914,701232
524449,701226
525994,701309
527527,701543
529076,701211
530614,701232
532161,701673
533700,701728
535239,702316
536788,702822
538332,702878
539864,703097
541407,703067
542947,703190
544490,703362
546032,703661
547571,703298
549119,702942
550653,702699
552198,702673
553739,702459
555275,702128
556822,701862
558361,701610
559901,701519
561438,701292
562990,701132
564527,701334
566069,701906
567602,701622
569149,701238
570686,701685
572227,702016
573773,702385
575313,702887
576853,702917
578399,702906
579935,702483
581478,702715
583018,702679
584561,702379
586101,702143
587640,701983
589183,701947
590735,701867
592266,701724
593816,701544
595352,701653
596893,701932
598437,702164
599975,702581
601513,702920
603061,702767
604591,702853
606135,703010
607676,703339
609223,703269
610773,703259
612303,703265
613842,703253
615393,703058
616921,702336
618470,702412
620004,701967
621546,701356
623092,701068
624636,700753
626168,700855
627721,700817
629257,700842
630802,701320
632335,701633
633883,701711
635419,701953
636969,702083
638503,701883
640044,702241
641581,702670
643131,702684
644664,702784
646210,702539
647753,702447
649294,702420
650833,702688
652381,702294
653916,701829
655459,701761
656998,701356
658540,701221
660082,701147
661621,701366
663160,701669
664712,702181
666246,702316
667790,702425
669329,702614
670873,702251
672409,702407
673959,702536
675491,702155
677041,702514
678576,702946
680123,702539
681656,702208
683204,701941
684746,701856
686291,701710
687820,701378
689369,701235
690910,701304
692450,701483
693987,701783
695528,702196
697066,701757
698615,701803
700154,702033
701699,702219
703234,702409
704788,702925
706325,703038
707867,702550
709398,702225
710942,702178
712484,702182
714032,702153
715564,701940
717109,701559
718645,701643
720193,701639
721734,701944
723274,702024
724819,701739
726356,701523
727897,701695
729440,701827
730978,702267
732526,702628
734061,702919
735602,702520
737146,702405
738691,702640
740222,702610
741776,702632
743314,702586
744855,702217
746391,702111
747939,701694
749474,701665
751017,701784
752558,701286
754101,701101
755637,701391
757183,701811
758726,701567
760271,701784
761815,702362
763349,702721
764886,702696
766432,702867
767970,702902
769518,703377
771053,703295
772595,702793
774136,702357
775679,702229
777216,702134
778770,702355
780299,701701
781845,701317
783382,701434
784927,701426
786472,701429
788012,701256
789547,701726
791097,701999
792626,701859
794175,702105
795719,702224
797256,702440
798807,702875
800339,702686
801878,702458
803421,702644
804961,702473
806503,702282
808047,702423
809585,702048
811125,701919
812671,702230
814208,702340
815758,702324
817292,702174
818839,701808
820375,702010
821917,702230
823455,701978
825001,702099
826534,702296
828081,702019
829619,702136
831165,702454
832710,702607
834248,702551
835790,702194
837330,702335
838865,701915
840411,701762
841956,701565
843494,701580
845033,701650
846574,701095
848111,700987
849660,701349
851196,701547
852746,701623
854278,701631
855822,701733
857363,701958
858911,702350
860445,702174
861989,702224
863524,702520
865068,702875
866608,702942
868152,702350
869691,702206
871242,702727
872781,702723
874318,701981
875853,701518
877405,701474
878936,701568
880480,701367
882026,701071
883565,700912
885103,701162
886646,701558
888186,701731
889735,701859
891269,701795
892822,702162
894351,702582
895892,702787
897433,702533
898975,702479
900509,702632
902057,702493
903599,702656
905147,702242
906677,701788
908225,701553
909773,701212
911305,701025
912844,701473
914395,701783
915925,701850
917469,701732
919006,702027
920550,702250
922092,702463
923642,702145
925180,702187
926722,702840
928258,702759
929806,702730
931340,702868
932885,702409
934421,701927
935967,701598
937508,701259
939049,701520
940588,701554
942132,701168
943667,700870
945216,701051
946761,700953
948298,701139
949836,701658
951382,702334
952916,702394
954462,702376
956003,702670
957542,702640
959083,702667
960627,702737
962163,702594
963714,702654
965247,702849
966801,702926
968329,702286
969876,701731
971412,701417
972953,701422
974498,701324
976043,701418
977578,701197
979121,701175
980661,701294
982208,701461
983748,701609
985289,702346
986834,702320
988373,702188
989910,702482
991458,702790
992988,702548
994535,702560
996075,702764
997620,702622
999159,702262
1000703,701885
