time_us,cs1238_raw
163,324580
1465,324276
3009,324379
4551,324394
6088,324518
7632,324302
9168,324623
10718,324682
12260,324473
13800,324314
15334,324096
16881,324284
18418,324337
19963,324084
21503,323701
23047,323632
24586,323779
26128,323981
27664,324172
29218,324243
30746,323947
32299,324245
33831,324566
35376,324433
36914,324800
38466,324798
39993,324750
41543,324703
43081,324617
44625,324562
46160,324188
47704,324205
49247,324127
50792,323676
52323,323735
53870,323592
55409,323645
56950,323789
58490,323587
60031,323106
61571,323111
63115,323531
64651,324073
66207,323983
67733,323960
69290,324122
70819,323913
72364,324128
73899,324244
75441,324247
76981,324197
78527,324497
80061,324820
81609,324587
83146,324677
84690,324696
86233,324703
87773,324102
89311,324152
90853,324233
92391,324280
93936,324229
95474,324271
97018,324210
98558,323930
100104,323674
101640,324084
103183,324192
104715,324255
106269,324415
107805,324557
109350,324276
110887,324151
112433,324082
113967,324297
115514,324355
117047,324077
118596,324243
120133,324133
121676,323780
123221,324019
124757,324131
126301,323640
127843,323718
129383,324312
130922,324394
132462,323851
134004,323972
135547,323732
137091,323912
138625,324211
140167,324173
141708,324155
143260,324338
144786,324285
146336,324477
147872,324774
149418,324513
150957,324253
152496,324376
154038,324256
155583,324243
157117,324578
158668,324212
160204,324314
161742,324639
163286,324415
164825,324488
166363,324511
167906,324070
169447,323773
170991,323852
172531,323906
174069,324126
175609,324194
177154,324146
178693,324051
180238,324074
181779,324320
183318,323943
184859,323431
186400,323715
187940,323676
189486,323969
191022,324289
192568,324530
194099,324322
195650,324436
197187,324747
198740,324757
200277,324900
201816,324816
203352,324612
204897,324603
206438,324561
207976,324364
209513,324410
211059,324604
212598,324639
214139,324089
215687,323576
217228,323983
218761,324188
220310,323904
221848,323436
223386,323558
224924,323679
226469,324106
228007,324173
229556,324106
231095,324034
232638,323843
234170,324303
235723,324502
237262,324398
238799,324092
240338,323931
241882,324119
243416,323980
244963,324232
246501,324422
248045,324316
249584,324313
251129,324447
252664,324278
254219,324563
255748,324800
257298,324777
258829,324439
260379,323842
261915,323825
263462,323968
264995,324107
266539,324208
268073,324780
269622,324608
271157,324237
272706,324337
274251,324496
275783,324540
277325,324269
278867,324358
280409,324454
281949,324398
283488,324468
285032,324410
286571,323913
288109,324037
289650,323722
291203,323838
292732,323765
294278,323612
295816,323846
297360,324059
298895,324055
300442,324148
301977,324312
303525,323897
305058,323771
306617,324128
308145,324136
309690,324239
311227,324733
312775,324863
314306,324590
315850,324625
317390,324832
318932,324648
320473,324468
322017,324319
323551,324060
325098,324293
326636,323984
328183,323975
329725,324430
331266,324293
332803,324056
334343,324243
335883,324252
337425,323864
338967,324047
340506,324066
342043,324119
343588,323931
345123,323783
346672,323850
348213,323877
349749,324057
351295,324087
352836,324110
354377,324176
355914,324413
357452,324174
359000,323922
360539,324041
362085,323995
363621,324032
365156,324192
366700,324289
368247,324186
369780,324303
371328,324285
372861,324112
374411,324260
375944,324349
377490,324474
379028,324763
380581,324768
382110,324370
383653,324262
385190,324616
386733,324371
388279,324661
389818,324667
391360,324096
392901,324109
394436,324385
395987,324262
397519,324049
399061,323866
400601,323823
402148,323819
403683,323850
405234,323869
406765,324230
408315,324243
409850,324159
411393,324076
412932,324447
414482,324365
416011,324368
417557,324493
419097,324270
420639,324538
422176,324384
423723,324359
425267,324419
426805,324439
428341,324309
429882,324269
431421,324399
432966,324283
434511,323881
436047,324089
437592,324502
439129,324178
440673,323802
442220,324001
443756,324337
445301,324451
446835,324650
448377,324876
449915,324689
451462,324282
452996,324660
454542,324561
456084,324387
457624,324244
459161,324305
460709,324222
462249,323985
463792,324154
465329,323963
466867,323519
468410,323721
469953,324312
471488,324129
473035,324154
474574,324411
476122,324570
477658,324243
479193,324265
480735,324649
482282,324575
483818,324595
485360,324653
486900,324860
488443,325045
489986,324655
491532,324266
493062,324159
494607,324308
496144,324451
497693,324047
499231,323994
500774,324097
502316,324401
503855,324000
505391,323827
506939,323895
508470,324043
510015,323978
511557,324265
513100,324417
514637,324556
516178,324486
517718,325155
519268,325148
520799,324495
522342,324397
523883,323968
525428,323973
526967,324113
528509,324067
530043,324061
531592,324300
533128,324220
534675,323805
536219,324134
537754,324057
539295,323852
540839,324103
542376,324133
543917,323976
545454,324036
546998,324065
548535,324412
550076,324702
551624,324750
553159,324812
554702,324905
556245,324761
557781,324488
559328,324120
560862,324312
562408,324209
563944,324126
565494,323990
567025,323976
568574,323907
570106,323520
571655,323598
573187,323733
574739,323585
576278,323775
577823,324258
579358,324561
580900,324690
582435,324861
583979,324913
585515,324619
587059,324554
588598,324475
590148,324267
591678,324457
593227,324615
594760,324438
596313,324278
597844,323761
599393,323835
600925,324045
602470,323840
604006,324018
605550,324234
607088,324192
608635,324458
610170,324918
611717,324957
613258,324860
614796,325091
616335,325077
617884,324557
619417,324299
620958,324273
622507,324577
624045,324503
625581,323971
627131,323920
628665,324443
630212,323896
631749,324181
633295,324202
634826,324008
636367,324137
637909,324391
639455,324302
640987,324374
642537,324290
644068,324470
645612,324306
647155,324199
648699,324035
650239,324120
651781,324230
653319,324372
654861,324382
656398,324266
657942,324375
659481,324206
661029,324433
662563,324457
664103,324270
665644,324154
667186,323945
668727,324430
670276,324266
671810,324068
673351,324073
674898,324064
676438,324385
677973,324541
679513,324464
681053,324558
682599,324767
684132,324479
685680,324363
687223,324110
688763,323997
690303,324258
691845,324445
693380,324293
694925,324174
696461,324342
698007,324502
699540,324169
701086,323739
702624,323901
704170,323924
705713,323972
707258,324025
708789,324328
710336,324133
711878,324211
713417,323936
714956,323971
716504,324274
718038,324454
719582,324554
721118,324382
722667,324188
724206,324240
725750,324164
727291,324421
728828,324248
730367,323952
731908,324222
733449,324473
734989,324362
736532,324347
738075,324324
739612,324251
741151,324060
742697,323891
744247,324068
745777,324220
747322,324150
748864,323955
750401,324397
751939,324471
753485,324621
755022,324529
756566,324285
758101,324182
759647,324583
761183,324531
762725,324215
764278,324173
765810,324317
767352,324543
768895,324327
770432,324031
771976,324103
773515,323949
775055,324257
776596,324332
778141,323921
779679,324125
781225,324447
782759,324366
784310,324406
785843,324397
787388,324295
788923,324083
790471,324289
792005,324468
793552,324228
795086,324133
796633,324213
798173,324453
799713,324483
801256,324282
802796,324276
804335,324025
805875,324096
807417,324025
808960,324373
810498,324396
812041,324118
813582,324314
815125,324159
816660,323959
818208,323936
819741,324119
821290,324120
822825,324020
824372,324485
825906,324099
827454,323808
828991,324043
830535,324650
832067,324873
833615,324502
835153,324205
836696,324395
838238,324090
839778,324055
841314,324475
842859,324538
844398,324253
845944,324058
847482,324212
849027,324169
850562,324082
852109,323611
853650,323852
855189,324064
856730,324071
858277,324307
859810,324577
861353,324369
862889,324119
864437,324205
865976,324528
867521,324575
869052,324073
870600,324088
872138,324167
873685,323913
875227,323814
876764,323803
878310,323938
879848,324376
881385,324474
882926,324487
884467,324464
886008,324423
887547,324534
889101,324884
890631,324583
892175,324711
893719,324809
895261,324683
896794,324484
898344,324306
899877,324266
901424,324401
902961,324321
904509,324463
906039,324616
907590,324247
909126,324243
910669,324249
912217,324114
913752,324233
915295,323997
916833,324076
918371,324233
919917,324059
921456,323864
923000,324402
924538,324403
926081,324110
927619,324269
929162,324277
930702,324607
932252,324531
933785,324261
935329,324231
936867,324104
938411,324379
939950,324545
941492,324622
943033,324513
944573,324153
946115,324271
947657,324588
949193,324451
950741,324676
952278,324578
953821,324487
955361,324312
956901,324053
958440,324304
959985,324362
961521,324491
963070,324250
964604,324169
966150,324603
967689,324387
969235,324306
970769,324409
972322,324224
973858,323933
975400,323922
976939,323862
978483,323607
980017,323766
981565,323954
983098,324160
984644,323821
986180,323852
987727,324191
989268,324377
990807,324256
992345,324282
993890,324648
995426,324954
996974,324611
998517,324392
1000056,324864
