time_us,cs1238_raw
163,702536
598,702413
2135,702016
3683,701981
5218,702198
6772,702586
8300,702691
9843,702477
11386,702243
12935,702085
14463,702123
16009,702178
17545,701725
19093,701896
20629,701965
22173,701787
23719,702298
25259,702753
26796,702385
28339,702326
29877,702356
31424,702406
32961,702942
34508,702730
36052,702764
37590,702674
39125,702744
40677,702768
42205,702432
43758,702423
45293,702106
46833,701760
48377,701829
49916,701566
51455,701832
52996,702052
54534,701938
56084,701999
57618,701872
59165,701799
60707,701928
62245,702203
63789,701983
65324,701889
66863,701989
68410,701751
69948,701610
71489,701886
73030,702360
74571,702138
76111,701511
77657,701042
79193,701263
80746,701411
82275,701419
83827,701714
85355,701855
86903,701602
88442,701615
89981,702071
91519,702157
93067,702343
94602,702731
96147,702961
97690,702353
99228,702469
100768,702854
102313,702419
103853,702270
105389,702297
106929,702187
108477,701600
110012,701526
111554,701278
113093,701438
114636,701099
116174,701196
117723,701680
119259,702127
120803,702357
122344,701915
123890,701643
125425,702089
126972,702259
128499,702593
130048,702447
131583,701953
133130,701832
134674,701958
136222,701525
137759,701495
139297,701493
140833,701709
142375,701571
143914,701421
145462,701290
147002,701229
148539,701842
150082,701999
151630,701708
153165,702135
154713,702463
156248,702452
157785,702562
159326,702474
160870,702287
162407,702424
163954,702304
165500,702299
167034,702028
168575,701769
170117,701849
171659,701669
173201,701639
174739,701690
176280,701417
177820,701557
179361,701790
180900,701740
182441,701936
183980,702187
185527,702251
187064,702571
188610,703257
190145,703534
191694,703149
193225,703376
194772,703285
196307,703148
197860,702793
199393,702310
200938,701992
202477,701687
204023,701426
205558,701264
207097,701026
208636,701504
210181,701339
211722,701069
213264,701713
214801,702000
216346,701662
217885,701882
219427,702524
220964,702728
222508,702796
224049,702730
225591,702940
227127,702687
228676,702393
230211,702678
231764,702835
233293,702428
234834,702161
236377,702094
237924,701951
239456,701595
240998,701505
242538,701887
244081,702131
245622,702156
247167,702631
248707,702801
250246,702886
251788,702988
253335,703402
254868,703097
256412,702998
257952,703016
259493,702946
261031,702665
262576,702374
264113,702023
265667,701793
267196,701660
268748,701193
270276,700806
271820,700807
273361,701134
274910,701388
276438,701660
277987,701632
279522,701703
281070,702277
282608,702510
284150,702719
285691,702394
287237,702530
288772,703311
290319,703641
291854,703220
293395,702752
294932,702688
296478,702330
298016,702355
299558,702420
301103,701737
302640,701063
304181,701364
305727,701637
307262,701512
308805,701709
310344,701422
311890,701760
313433,702371
314974,702349
316508,701914
318057,701705
319590,701918
321133,702406
322681,702074
324224,702137
325768,702139
327298,701976
328835,701571
330380,701526
331926,701434
333466,701030
335000,700813
336549,701483
338086,701887
339631,701289
341167,701314
342715,701651
344251,702151
345792,702540
347335,702308
348876,702302
350415,701768
351954,702012
353496,702379
355040,702412
356578,702242
358122,702501
359670,702429
361204,701877
362747,701586
364289,701641
365828,701502
367373,701410
368907,701346
370450,701208
371987,701292
373532,701747
375073,701931
376618,701794
378156,701806
379710,702307
381238,702375
382782,702198
384318,702364
385862,702760
387400,702593
388951,702706
390482,702899
392028,702636
393565,702049
395109,701907
396646,701867
398195,701535
399732,701580
401275,701577
402817,701713
404356,701928
405897,701647
407444,701654
408981,701329
410520,702131
412064,702755
413602,702267
415140,702248
416689,702354
418225,702579
419772,702628
421311,702425
422853,702507
424390,702608
425934,702713
427476,702245
429013,701712
430554,702051
432098,702045
433635,701663
435181,701640
436729,701610
438262,701867
439798,701865
441344,702455
442885,702673
444428,702619
445970,702687
447509,702523
449050,702281
450590,702652
452132,702580
453681,702341
455210,702163
456762,701663
458291,701456
459837,701275
461380,701417
462922,701355
464459,701871
466006,702181
467538,702092
469090,702028
470628,702036
472167,702040
473709,702001
475248,702455
476786,702878
478333,702892
479871,702963
481413,702941
482954,702786
484500,702496
486035,702276
487580,702021
489116,701727
490666,701751
492202,701785
493750,701490
495284,701532
496830,701910
498367,702031
499914,701707
501447,701591
502991,701222
504524,701597
506075,702338
507612,702431
509157,702658
510696,702938
512237,702962
513778,702500
515320,702334
516856,702050
518402,701994
519939,701525
521482,701514
523020,701328
524563,701068
526104,700991
527649,700943
529186,701056
530733,701183
532268,701224
533810,701465
535352,701863
536902,702293
538430,702403
539979,702443
541515,702807
543062,703177
544598,703198
546146,703251
547689,703155
549223,702675
550768,702502
552309,702558
553847,702473
555393,702165
556928,702248
558475,701930
560016,701857
561561,702017
563096,701685
564636,701586
566183,702057
567726,701936
569259,701716
570808,702026
572341,702603
573886,702498
575419,702184
576967,702174
578506,702367
580050,702603
581587,702378
583136,702114
584676,701962
586214,701648
587754,701329
589296,701464
590838,701669
592384,701777
593924,701327
595459,701395
597002,701404
598542,701409
600080,701854
601633,702172
603166,702164
604714,702538
606248,702502
607789,702660
609331,702982
610872,702983
612412,703076
613955,702877
615497,702595
617034,702165
618570,701791
620123,701692
621662,701512
623200,701333
624748,701243
626282,701625
627822,702450
629367,702449
630906,701807
632453,701684
633994,701995
635526,702378
637068,702019
638611,702017
640150,702555
641704,702136
643235,701993
644781,702065
646318,702115
647864,701371
649399,701206
650942,701330
652479,701262
654028,701116
655564,701017
657112,701041
658647,701327
660189,701622
661730,702025
663272,702070
664813,702395
666354,702648
667895,702958
669441,703038
670975,702664
672521,702571
674060,702915
675598,702678
677140,703001
678686,702570
680221,702262
681771,702052
683302,702194
684851,701949
686388,701857
687928,701634
689470,701370
691015,701127
692550,701168
694100,701524
695629,701780
697178,702053
698716,701898
700263,701722
701801,701751
703338,701781
704878,701990
706423,702021
707962,702132
709505,702198
711046,701759
712586,701578
714127,701536
715673,701194
717209,701230
718758,701714
720296,701856
721836,701600
723377,701495
724924,701544
726454,701834
728002,701779
729536,701976
731082,702541
732618,702780
734171,702963
735712,703005
737245,702906
738785,702841
740327,702852
741863,702757
743412,702457
744951,702285
746495,701884
748031,701424
749574,701018
751120,701112
752653,701345
754194,701559
755746,701562
757278,701663
758822,702029
760358,702279
761903,702005
763442,702192
764991,702343
766519,702466
768066,702285
769604,702193
771153,702282
772698,702090
774232,702452
775773,702246
777316,701749
778855,701428
780396,701343
781937,701624
783483,701482
785020,701056
786560,701207
788105,701480
789644,701678
791182,702039
792738,702483
794269,702586
795810,702886
797350,703086
798893,702677
800433,702421
801978,702548
803510,702752
805062,702964
806599,703009
808142,702516
809683,702178
811223,702050
812766,701922
814306,701529
815840,701351
817391,700992
818926,701058
820468,701458
822010,702276
823552,702543
825091,702439
826632,702223
828174,702160
829725,702087
831257,702467
832799,702849
834339,702113
835886,701970
837420,702140
838967,701551
840498,700872
842051,701024
843581,701278
845130,700996
846669,700851
848217,700732
849752,700836
851297,700982
852836,701246
854374,701441
855921,701644
857466,701846
858999,702412
860541,702690
862079,703170
863618,703005
865162,703153
866719,702883
868243,702720
869785,702509
871323,702310
872866,702194
874406,702351
875956,702163
877488,701665
879035,701036
880574,700968
882114,701181
883652,701344
885196,701627
886741,702071
888282,701960
889822,701734
891361,701585
892904,701922
894445,702438
895981,702255
897527,701876
899068,701693
900609,701919
902152,702212
903700,701893
905232,701838
906776,701645
908313,701240
909861,701274
911399,701217
912938,701373
914476,701287
916023,701081
917557,701319
919110,702017
920645,702377
922186,702245
923729,702101
925272,702575
926806,702987
928352,703034
929888,702663
931435,702761
932976,702848
934516,702606
936060,702481
937601,702091
939138,702059
940685,701918
942221,701888
943767,701670
945303,701624
946849,701579
948387,702135
949934,701908
951467,701825
953017,702120
954545,701882
956091,701879
957631,702154
959180,702552
960721,702586
962263,702719
963796,702736
965341,702383
966878,701881
968426,701392
969963,701029
971505,701134
973044,700967
974587,700714
976128,701065
977676,701217
979209,701268
980755,701520
982294,701621
983836,701397
985375,701822
986917,702364
988457,702471
990000,702720
991538,702502
993084,702495
994615,702674
996164,702551
997705,702440
999248,702189
1000793,701977
